DeXuat,Baseline,h,DM,p,KetLuan
STL-Auto,ARIMA,1,-4.832,0.0,đề xuất tốt hơn
STL-Auto,RW-drift,1,-4.8868,0.0,đề xuất tốt hơn
STL-Auto,GRU(direct),1,-4.9736,0.0,đề xuất tốt hơn
STL-Auto,TCN(direct),1,-4.9616,0.0,đề xuất tốt hơn
STL-Auto,NBEATS(direct),1,-5.0348,0.0,đề xuất tốt hơn
STL-Auto,ARIMA,7,-3.9718,0.0001,đề xuất tốt hơn
STL-Auto,RW-drift,7,-4.1926,0.0,đề xuất tốt hơn
STL-Auto,GRU(direct),7,-4.2772,0.0,đề xuất tốt hơn
STL-Auto,TCN(direct),7,-4.3291,0.0,đề xuất tốt hơn
STL-Auto,NBEATS(direct),7,-4.2094,0.0,đề xuất tốt hơn
STL-Auto,ARIMA,14,-3.1707,0.0017,đề xuất tốt hơn
STL-Auto,RW-drift,14,-3.6284,0.0003,đề xuất tốt hơn
STL-Auto,GRU(direct),14,-4.0362,0.0001,đề xuất tốt hơn
STL-Auto,TCN(direct),14,-3.8007,0.0002,đề xuất tốt hơn
STL-Auto,NBEATS(direct),14,-3.7203,0.0002,đề xuất tốt hơn
STL-Auto,ARIMA,28,-2.0623,0.0399,đề xuất tốt hơn
STL-Auto,RW-drift,28,-2.4961,0.013,đề xuất tốt hơn
STL-Auto,GRU(direct),28,-2.7853,0.0057,đề xuất tốt hơn
STL-Auto,TCN(direct),28,-2.6133,0.0094,đề xuất tốt hơn
STL-Auto,NBEATS(direct),28,-2.5393,0.0116,đề xuất tốt hơn
