Model,1,7,14,28
ARIMA,1.8615,4.8936,7.1989,9.6962
GRU(direct),1.886,5.0544,7.5619,10.2678
NBEATS(direct),2.0765,5.4214,7.8583,10.7585
RW-drift,1.8652,4.9116,7.2571,9.6938
RobustSTL-ARIMA-LSTM,2.6184,2.8888,2.7699,4.552
RobustSTL-Auto,1.934,2.5388,2.1663,4.2706
RobustSTL-EnsAvg,1.9707,2.3497,2.3652,4.3423
RobustSTL-EnsWgt,1.963,2.3521,2.3671,4.3375
RobustSTL-GRU,2.1272,2.9392,2.8696,4.6545
RobustSTL-NBEATS,2.6495,2.5557,2.7937,5.5781
RobustSTL-TCN,2.2956,2.4345,2.4928,4.6514
STL-ARIMA-LSTM,2.5172,3.1384,2.6371,3.3335
STL-Auto,1.7926,2.598,2.2831,3.846
STL-EnsAvg,1.8139,2.4335,2.1257,3.9298
STL-EnsWgt,1.81,2.4324,2.1265,3.9122
STL-GRU,1.8846,2.7099,2.466,3.8393
STL-NBEATS,2.2394,2.6624,2.5626,5.7459
STL-TCN,1.8793,2.5159,2.5006,4.4982
TCN(direct),1.8846,4.9918,7.3543,9.8692
