Model,1,7,14,28
ARIMA,0.9852,0.9125,0.8159,0.5821
GRU(direct),0.985,0.9085,0.8038,0.5705
NBEATS(direct),0.9825,0.8959,0.7852,0.5199
RW-drift,0.9852,0.9138,0.8216,0.614
RobustSTL-ARIMA-LSTM,0.9765,0.971,0.9587,0.897
RobustSTL-Auto,0.9867,0.9781,0.983,0.9286
RobustSTL-EnsAvg,0.9863,0.9814,0.9805,0.925
RobustSTL-EnsWgt,0.9864,0.9814,0.9805,0.9252
RobustSTL-GRU,0.9839,0.9712,0.9704,0.9151
RobustSTL-NBEATS,0.975,0.9768,0.9724,0.8742
RobustSTL-TCN,0.9812,0.9798,0.978,0.9167
STL-ARIMA-LSTM,0.9785,0.9677,0.9646,0.9039
STL-Auto,0.9888,0.9777,0.981,0.9378
STL-EnsAvg,0.9886,0.981,0.9845,0.9373
STL-EnsWgt,0.9887,0.981,0.9845,0.9378
STL-GRU,0.987,0.9757,0.9784,0.9373
STL-NBEATS,0.9826,0.9761,0.9762,0.871
STL-TCN,0.9878,0.9792,0.9786,0.9198
TCN(direct),0.9851,0.912,0.8161,0.6007
