Model,1,7,14,28
ARIMA,2104.8904,5122.1942,7417.7231,10985.9734
GRU(direct),2115.024,5225.9598,7634.3086,11080.1798
NBEATS(direct),2286.6186,5581.8276,8010.1095,11773.2006
RW-drift,2102.7688,5082.3882,7301.0068,10558.4481
RobustSTL-ARIMA-LSTM,2640.2625,2928.2963,3508.0299,5451.9034
RobustSTL-Auto,1983.3736,2546.9593,2246.3006,4535.6437
RobustSTL-EnsAvg,2007.8746,2358.722,2396.1158,4650.563
RobustSTL-EnsWgt,2000.914,2360.8879,2397.2561,4645.3649
RobustSTL-GRU,2190.5861,2916.7429,2894.1725,4930.4149
RobustSTL-NBEATS,2653.0402,2608.5657,2849.7423,6016.6859
RobustSTL-TCN,2308.0181,2451.2716,2557.3315,4904.9022
STL-ARIMA-LSTM,2529.6717,3099.0195,3249.4973,5269.0706
STL-Auto,1821.1662,2568.5965,2381.175,4219.3796
STL-EnsAvg,1835.5436,2380.4912,2152.9321,4252.807
STL-EnsWgt,1833.1912,2380.2169,2153.3814,4237.6976
STL-GRU,1972.3517,2695.8228,2536.0077,4240.0823
STL-NBEATS,2202.9515,2616.1027,2636.6909,6098.374
STL-TCN,1902.067,2496.0245,2527.7051,4808.9705
TCN(direct),2111.6451,5134.7824,7412.7505,10736.5152
