DeXuat,Baseline,loai,h,RMSE_mean,RMSE_std,base_RMSE,wilcoxon_p,co_y_nghia
STL-TCN,ARIMA,1-mẫu,1,1902.067,150.9876,2104.8904,0.0029,True
STL-TCN,RW-drift,1-mẫu,1,1902.067,150.9876,2102.7688,0.0029,True
STL-TCN,GRU(direct),ghép-cặp,1,1902.067,150.9876,2115.024,0.0029,True
STL-TCN,TCN(direct),ghép-cặp,1,1902.067,150.9876,2111.6451,0.0029,True
STL-TCN,NBEATS(direct),ghép-cặp,1,1902.067,150.9876,2286.6186,0.001,True
STL-TCN,ARIMA,1-mẫu,28,4808.9705,222.8571,10985.9734,0.001,True
STL-TCN,RW-drift,1-mẫu,28,4808.9705,222.8571,10558.4481,0.001,True
STL-TCN,GRU(direct),ghép-cặp,28,4808.9705,222.8571,11080.1798,0.001,True
STL-TCN,TCN(direct),ghép-cặp,28,4808.9705,222.8571,10736.5152,0.001,True
STL-TCN,NBEATS(direct),ghép-cặp,28,4808.9705,222.8571,11773.2006,0.001,True
STL-NBEATS,ARIMA,1-mẫu,1,2202.9515,598.0643,2104.8904,0.5,False
STL-NBEATS,RW-drift,1-mẫu,1,2202.9515,598.0643,2102.7688,0.5,False
STL-NBEATS,GRU(direct),ghép-cặp,1,2202.9515,598.0643,2115.024,0.5,False
STL-NBEATS,TCN(direct),ghép-cặp,1,2202.9515,598.0643,2111.6451,0.5,False
STL-NBEATS,NBEATS(direct),ghép-cặp,1,2202.9515,598.0643,2286.6186,0.3848,False
STL-NBEATS,ARIMA,1-mẫu,28,6098.374,239.2063,10985.9734,0.001,True
STL-NBEATS,RW-drift,1-mẫu,28,6098.374,239.2063,10558.4481,0.001,True
STL-NBEATS,GRU(direct),ghép-cặp,28,6098.374,239.2063,11080.1798,0.001,True
STL-NBEATS,TCN(direct),ghép-cặp,28,6098.374,239.2063,10736.5152,0.001,True
STL-NBEATS,NBEATS(direct),ghép-cặp,28,6098.374,239.2063,11773.2006,0.001,True
STL-GRU,ARIMA,1-mẫu,1,1972.3517,54.8963,2104.8904,0.001,True
STL-GRU,RW-drift,1-mẫu,1,1972.3517,54.8963,2102.7688,0.001,True
STL-GRU,GRU(direct),ghép-cặp,1,1972.3517,54.8963,2115.024,0.001,True
STL-GRU,TCN(direct),ghép-cặp,1,1972.3517,54.8963,2111.6451,0.001,True
STL-GRU,NBEATS(direct),ghép-cặp,1,1972.3517,54.8963,2286.6186,0.001,True
STL-GRU,ARIMA,1-mẫu,28,4240.0823,371.1061,10985.9734,0.001,True
STL-GRU,RW-drift,1-mẫu,28,4240.0823,371.1061,10558.4481,0.001,True
STL-GRU,GRU(direct),ghép-cặp,28,4240.0823,371.1061,11080.1798,0.001,True
STL-GRU,TCN(direct),ghép-cặp,28,4240.0823,371.1061,10736.5152,0.001,True
STL-GRU,NBEATS(direct),ghép-cặp,28,4240.0823,371.1061,11773.2006,0.001,True
